sample_id,local_sample_id,batch_start,batch_end,batch_name,sample_id_mode,sample_id_warning,file,file_path,relative_path,parent_dir,suffix,sample_slot,well_start,well_end,sample_layout
1,1,1,1600,结果1-1600,two_per_file,,检测结果 (1).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (1).csv,结果汇总\结果1-1600\1-9\检测结果 (1).csv,1-9,.csv,1,1,15,two_per_file_15x2
2,1,1,1600,结果1-1600,two_per_file,,检测结果 (1).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (1).csv,结果汇总\结果1-1600\1-9\检测结果 (1).csv,1-9,.csv,2,16,30,two_per_file_15x2
3,2,1,1600,结果1-1600,two_per_file,,检测结果 (2).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (2).csv,结果汇总\结果1-1600\1-9\检测结果 (2).csv,1-9,.csv,1,1,15,two_per_file_15x2
4,2,1,1600,结果1-1600,two_per_file,,检测结果 (2).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (2).csv,结果汇总\结果1-1600\1-9\检测结果 (2).csv,1-9,.csv,2,16,30,two_per_file_15x2
5,3,1,1600,结果1-1600,two_per_file,,检测结果 (3).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (3).csv,结果汇总\结果1-1600\1-9\检测结果 (3).csv,1-9,.csv,1,1,15,two_per_file_15x2
6,3,1,1600,结果1-1600,two_per_file,,检测结果 (3).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (3).csv,结果汇总\结果1-1600\1-9\检测结果 (3).csv,1-9,.csv,2,16,30,two_per_file_15x2
7,4,1,1600,结果1-1600,two_per_file,,检测结果 (4).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (4).csv,结果汇总\结果1-1600\1-9\检测结果 (4).csv,1-9,.csv,1,1,15,two_per_file_15x2
8,4,1,1600,结果1-1600,two_per_file,,检测结果 (4).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (4).csv,结果汇总\结果1-1600\1-9\检测结果 (4).csv,1-9,.csv,2,16,30,two_per_file_15x2
9,5,1,1600,结果1-1600,two_per_file,,检测结果 (5).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (5).csv,结果汇总\结果1-1600\1-9\检测结果 (5).csv,1-9,.csv,1,1,15,two_per_file_15x2
10,5,1,1600,结果1-1600,two_per_file,,检测结果 (5).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (5).csv,结果汇总\结果1-1600\1-9\检测结果 (5).csv,1-9,.csv,2,16,30,two_per_file_15x2
11,6,1,1600,结果1-1600,two_per_file,,检测结果 (6).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (6).csv,结果汇总\结果1-1600\1-9\检测结果 (6).csv,1-9,.csv,1,1,15,two_per_file_15x2
12,6,1,1600,结果1-1600,two_per_file,,检测结果 (6).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (6).csv,结果汇总\结果1-1600\1-9\检测结果 (6).csv,1-9,.csv,2,16,30,two_per_file_15x2
13,7,1,1600,结果1-1600,two_per_file,,检测结果 (7).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (7).csv,结果汇总\结果1-1600\1-9\检测结果 (7).csv,1-9,.csv,1,1,15,two_per_file_15x2
14,7,1,1600,结果1-1600,two_per_file,,检测结果 (7).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (7).csv,结果汇总\结果1-1600\1-9\检测结果 (7).csv,1-9,.csv,2,16,30,two_per_file_15x2
15,8,1,1600,结果1-1600,two_per_file,,检测结果 (8).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (8).csv,结果汇总\结果1-1600\1-9\检测结果 (8).csv,1-9,.csv,1,1,15,two_per_file_15x2
16,8,1,1600,结果1-1600,two_per_file,,检测结果 (8).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (8).csv,结果汇总\结果1-1600\1-9\检测结果 (8).csv,1-9,.csv,2,16,30,two_per_file_15x2
17,9,1,1600,结果1-1600,two_per_file,,检测结果 (9).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (9).csv,结果汇总\结果1-1600\1-9\检测结果 (9).csv,1-9,.csv,1,1,15,two_per_file_15x2
18,9,1,1600,结果1-1600,two_per_file,,检测结果 (9).csv,..\medicaldata\结果汇总\结果1-1600\1-9\检测结果 (9).csv,结果汇总\结果1-1600\1-9\检测结果 (9).csv,1-9,.csv,2,16,30,two_per_file_15x2
19,10,1,1600,结果1-1600,two_per_file,,检测结果 (10).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (10).csv,结果汇总\结果1-1600\10-99\检测结果 (10).csv,10-99,.csv,1,1,15,two_per_file_15x2
20,10,1,1600,结果1-1600,two_per_file,,检测结果 (10).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (10).csv,结果汇总\结果1-1600\10-99\检测结果 (10).csv,10-99,.csv,2,16,30,two_per_file_15x2
21,11,1,1600,结果1-1600,two_per_file,,检测结果 (11).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (11).csv,结果汇总\结果1-1600\10-99\检测结果 (11).csv,10-99,.csv,1,1,15,two_per_file_15x2
22,11,1,1600,结果1-1600,two_per_file,,检测结果 (11).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (11).csv,结果汇总\结果1-1600\10-99\检测结果 (11).csv,10-99,.csv,2,16,30,two_per_file_15x2
